Date,SKU,ProductName,Category,Material,Style,Color,Gender,Occasion,Weight(gms),Price,Price(INR),Quantity_Sold,Revenue,Rating,Stock
2024-01-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15213.68,201544.69,16,243418.88,2.5,65
2024-02-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14605.55,201544.69,13,189872.15,2.5,65
2024-03-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15580.99,201544.69,18,280457.82,2.5,65
2024-04-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15753.27,201544.69,14,220545.78,2.5,65
2024-05-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14872.06,201544.69,16,237952.96,2.5,65
2024-06-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15385.7,201544.69,16,246171.2,2.5,65
2024-07-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14338.45,201544.69,10,143384.5,2.5,65
2024-08-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14307.77,201544.69,12,171693.24,2.5,65
2024-09-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15311.03,201544.69,12,183732.36,2.5,65
2024-10-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14631.7,201544.69,14,204843.8,2.5,65
2024-11-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14977.02,201544.69,14,209678.28,2.5,65
2024-12-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14306.48,201544.69,10,143064.8,2.5,65
2025-01-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14447.77,201544.69,6,86686.62,2.5,65
2025-02-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15706.02,201544.69,5,78530.1,2.5,65
2025-03-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14236.56,201544.69,4,56946.24,2.5,65
2025-04-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14992.79,201544.69,4,59971.16,2.5,65
2025-05-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15550.26,201544.69,6,93301.56,2.5,65
2025-06-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14502.55,201544.69,5,72512.75,2.5,65
2025-07-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14196.18,201544.69,4,56784.72,2.5,65
2025-08-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14994.69,201544.69,5,74973.45,2.5,65
2025-09-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15637.75,201544.69,6,93826.5,2.5,65
2025-10-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15609.12,201544.69,6,93654.72,2.5,65
2025-11-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,14778.77,201544.69,8,118230.16,2.5,65
2025-12-01,RJ0001,Silver Earrings,Earrings,Gemstone,Minimal,Green,Unisex,Party,3.82,15272.79,201544.69,5,76363.95,2.5,65
2024-01-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,116388.83,132073.43,13,1513054.79,3.4,40
2024-02-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,119325.59,132073.43,11,1312581.49,3.4,40
2024-03-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,118553.71,132073.43,13,1541198.23,3.4,40
2024-04-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,119933.22,132073.43,11,1319265.42,3.4,40
2024-05-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,123538.67,132073.43,11,1358925.37,3.4,40
2024-06-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,124708.93,132073.43,8,997671.44,3.4,40
2024-07-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,116285.9,132073.43,7,814001.3,3.4,40
2024-08-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,118532.07,132073.43,6,711192.42,3.4,40
2024-09-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,115774.5,132073.43,7,810421.5,3.4,40
2024-10-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,115058.89,132073.43,6,690353.34,3.4,40
2024-11-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,115074.77,132073.43,6,690448.62,3.4,40
2024-12-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,123716.29,132073.43,6,742297.74,3.4,40
2025-01-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,114616.68,132073.43,4,458466.72,3.4,40
2025-02-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,117383.49,132073.43,3,352150.47,3.4,40
2025-03-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,113386.95,132073.43,4,453547.8,3.4,40
2025-04-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,122986.09,132073.43,5,614930.45,3.4,40
2025-05-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,124897.92,132073.43,5,624489.6,3.4,40
2025-06-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,123277.61,132073.43,6,739665.66,3.4,40
2025-07-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,114091.05,132073.43,4,456364.2,3.4,40
2025-08-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,120005.35,132073.43,5,600026.75,3.4,40
2025-09-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,114433.58,132073.43,5,572167.9,3.4,40
2025-10-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,112984.55,132073.43,6,677907.3,3.4,40
2025-11-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,119503.17,132073.43,6,717019.02,3.4,40
2025-12-01,RJ0002,Platinum Bangle,Bangle,Pearl,Minimal,Blue,Women,Party,20.21,122203.88,132073.43,5,611019.4,3.4,40
2024-01-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,229571.25,284476.11,34,7805422.5,3.9,88
2024-02-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,219996.93,284476.11,29,6379910.97,3.9,88
2024-03-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,225455.61,284476.11,33,7440035.13,3.9,88
2024-04-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,218240.95,284476.11,35,7638433.25,3.9,88
2024-05-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,215954.66,284476.11,37,7990322.42,3.9,88
2024-06-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,226727.49,284476.11,48,10882919.52,3.9,88
2024-07-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,220866.88,284476.11,38,8392941.44,3.9,88
2024-08-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,224741.8,284476.11,40,8989672.0,3.9,88
2024-09-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,238979.54,284476.11,49,11709997.46,3.9,88
2024-10-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,229644.58,284476.11,55,12630451.9,3.9,88
2024-11-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,220269.48,284476.11,71,15639133.08,3.9,88
2024-12-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,226189.17,284476.11,50,11309458.5,3.9,88
2025-01-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,229091.0,284476.11,36,8247276.0,3.9,88
2025-02-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,219570.24,284476.11,36,7904528.64,3.9,88
2025-03-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,229227.37,284476.11,45,10315231.65,3.9,88
2025-04-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,233110.83,284476.11,44,10256876.52,3.9,88
2025-05-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,227114.13,284476.11,51,11582820.63,3.9,88
2025-06-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,226404.53,284476.11,57,12905058.21,3.9,88
2025-07-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,220466.79,284476.11,41,9039138.39,3.9,88
2025-08-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,217290.94,284476.11,51,11081837.94,3.9,88
2025-09-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,226972.65,284476.11,64,14526249.6,3.9,88
2025-10-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,223544.88,284476.11,81,18107135.28,3.9,88
2025-11-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,236415.84,284476.11,82,19386098.88,3.9,88
2025-12-01,RJ0003,Gold Earrings,Ring,Silver,Antique,Black,Unisex,Party,17.85,223862.52,284476.11,66,14774926.32,3.9,88
2024-01-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,26218.2,283775.33,30,786546.0,3.6,93
2024-02-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,25772.93,283775.33,29,747414.97,3.6,93
2024-03-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28084.53,283775.33,29,814451.37,3.6,93
